Long_m,Lat_m
-1234009.229,1747621.755
-1271758.773,1704770.922
-1131983.436,1606826.16
-1303386.769,1490516.756
-990167.5842,1854748.837
-1264616.967,1501739.594
-1096274.409,1664980.862
-1287062.642,1579279.196
-1234009.229,1458888.761
-1045261.512,1768026.913
-1366642.76,1910863.023
-1108517.504,1666001.12
-1372764.308,1753743.302
-1157489.885,1871072.964
-1173814.012,1895559.154
-1162591.174,1658859.315
-1340116.054,1666001.12
-1087092.087,1648656.735
-1221766.134,1459909.018
-1122801.115,1719054.533
-1275839.804,1495618.046
-1216664.845,1585400.744
-1169732.98,1515002.947
-1052403.318,1659879.573
-1066686.929,1756804.076
-1174834.269,1515002.947
-1219725.618,1429301.281
-1309508.316,1591522.291
-1214624.329,1405835.348
-1239110.519,1749662.27
-1033018.417,1849647.548
-1258495.42,1417058.185
-1080970.54,1675183.442
-1341136.312,1971058.241
-1335014.764,1768026.913
-1254414.388,1411956.896
-1215644.587,1679264.473
-1332974.249,1756804.076
-1065666.671,1941470.761
-1202381.234,1545610.685
-1110558.02,1624170.545
-1164631.69,1633352.866
-1091173.119,1762925.624
-1251353.614,1713953.243
-1362561.729,1740479.949
-1138104.984,1623150.287
-1170753.238,1603765.387
-1262576.451,1712932.985
-1105456.73,1631312.351
-1091173.119,1612947.708
-1309508.316,1747621.755
-1365622.502,1710892.469
-1251353.614,1902700.96
-1047302.028,1757824.334
-1385007.403,2000645.721
-1366642.76,1660899.831
-1411534.109,2053699.134
-1103416.214,1648656.735
-1185036.849,1576218.422
-1417655.657,1947592.309
-991187.8421,1831282.905
-1164631.69,1853728.579
-1346237.602,2065942.229
-1206462.265,1661920.089
-1067707.187,1692527.826
-1234009.229,1711912.727
-1242171.293,1382369.416
-1235029.487,1558874.038
-1366642.76,1765986.397
-1117699.825,1686406.279
-1100355.441,1677223.957
-1282981.61,1491537.014
-1255434.646,1583360.228
-1403372.046,1881275.543
-1037099.449,1745581.239
-1204421.749,1691507.568
-1323791.927,1893518.639
-1266657.483,1382369.416
-1205442.007,1483374.951
-1293184.189,1823120.841
-1080970.54,1641514.93
-1042200.739,1952693.599
-1024856.354,1980240.563
-1188097.623,1846586.774
-1174834.269,1499699.078
-1113618.794,2054719.391
-1108517.504,1611927.45
-1207482.523,1586421.002
-1102395.956,1927187.15
-1251353.614,1383389.674
-1368683.276,2006767.269
-1329913.475,2006767.269
-1122801.115,1708851.953
-1228907.94,1674163.184
-1152388.595,1701710.148
-1029957.643,1899640.186
-1117699.825,1627231.319
-1024856.354,1747621.755
-1184016.591,1816999.294
-1155449.369,1568056.359
-1075869.25,1676203.7
-1253394.13,1653758.025
-1241151.035,1378288.384
-1110558.02,1601724.871
-1053423.576,1725176.08
-1114639.052,1686406.279
-1228907.94,1712932.985
-1046281.77,1762925.624
-1208502.781,1436443.086
-1408473.335,1993503.916
-1245232.067,2006767.269
-1073828.734,1808837.23
-1120760.599,1680284.731
-1192178.654,1793533.361
-1413574.625,1871072.964
-1173814.012,1526225.784
-1250333.356,1734358.402
-1232988.971,1739459.691
-1176874.785,1678244.215
-1254414.388,1582339.97
-1322771.669,1960855.662
-1151368.337,1552752.49
-1059545.123,1717014.017
-1108517.504,1800675.167
-1276860.062,2067982.745
-1155449.369,1707831.695
-1416635.399,1970037.983
-1184016.591,1532347.331
-1304407.027,1619069.255
-1181976.075,1486435.725
-1296244.963,1467050.824
-1063626.155,1677223.957
-1016694.29,1854748.837
-1437040.557,1950653.083
-1202381.234,1505820.625
-1148307.563,1739459.691
-1131983.436,1600704.613
-1398270.756,1672122.668
-1260535.936,1377268.126
-1196259.686,1654778.283
-1140145.5,1740479.949
-1259515.678,1666001.12
-1391128.951,1961875.92
-1094233.893,1746601.497
-1186057.107,1606826.16
-1084031.314,1669061.894
-1008532.227,1802715.683
-1002410.679,1853728.579
-1197279.944,1637433.898
-1046281.77,1818019.552
-1118720.083,1713953.243
-1064646.413,2010848.3
-1290123.416,1754763.56
-1360521.213,1723135.564
-1202381.234,1680284.731
-1127902.405,1701710.148
-1236049.745,1723135.564
-1314609.606,1765986.397
-1220745.876,1910863.023
-1147287.305,1717014.017
-1009552.485,1944531.535
-1207482.523,1652737.767
-1246252.325,1770067.429
-977924.489,1865971.674
-1104436.472,1629271.835
-1081990.798,1792513.104
-1096274.409,1779249.75
-1134023.952,1732317.886
-1220745.876,2033293.975
-1150348.079,2075124.55
-1328893.217,2088387.903
-1263596.709,1761905.366
-1203401.491,1586421.002
-965681.3939,1862910.901
-1054443.834,1943511.277
-1116679.567,1674163.184
-1194219.17,1671102.41
-1307467.8,1471131.856
-1369703.534,1708851.953
-1197279.944,1690487.311
-1306447.542,2026152.169
-1293184.189,1725176.08
-1339095.796,1804756.199
-1273799.289,1907802.25
-976904.2311,1897599.67
-1179935.559,1761905.366
-1085051.572,1639474.414
-1347257.86,1745581.239
-1221766.134,1457868.503
-1075869.25,1745581.239
-1162591.174,1579279.196
-1350318.633,1743540.723
-1344197.086,1566015.843
-1105456.73,1699669.632
-1052403.318,1782310.524
-1194219.17,1503780.109
-1306447.542,1729257.112
-1176874.785,1931268.182
-1368683.276,1821080.326
-1348278.118,2020030.622
-1165651.948,1639474.414
-1104436.472,2026152.169
-1175854.527,1852708.321
-997309.3897,1863931.159
-1116679.567,1653758.025
-1316650.122,1869032.448
-1315629.864,1830262.647
-1222786.392,1696608.858
-1272779.031,1739459.691
-991187.8421,1973098.757
-1305427.284,1535408.105
-1275839.804,1527246.042
-1140145.5,1664980.862
-1235029.487,1469091.34
-1133003.694,1624170.545
-1015674.032,1923106.119
-1105456.73,1650697.251
-1389088.435,1967997.467
-1057504.608,1677223.957
-1282981.61,1433382.312
-1225847.166,2088387.903
-1104436.472,1913923.797
-1362561.729,1882295.801
-1022815.838,1760885.108
-1115659.31,1645595.962
-1313589.348,2010848.3
-1284001.868,1458888.761
-1296244.963,1431341.796
-1318690.638,1850667.806
-1258495.42,1437463.344
-1204421.749,1668041.636
-985066.2945,1970037.983
-1163611.432,1590502.033
-1066686.929,1828222.131
-1389088.435,1875153.996
-1252373.872,1475212.887
-1243191.551,1489496.498
-1161570.916,1717014.017
-1138104.984,1626211.061
-1136064.468,1700689.89
-1163611.432,1855769.095
-1215644.587,1591522.291
-1250333.356,1676203.7
-1091173.119,1789452.33
-1156469.627,1725176.08
-1210543.297,1675183.442
-1265637.225,1542549.911
-1258495.42,1408896.122
-1348278.118,1715993.759
-1239110.519,1426240.507
-1286042.384,1599684.355
-1029957.643,1746601.497
-1270738.515,1471131.856
-1015674.032,1942491.019
-1275839.804,2079205.582
-1399291.014,1909842.765
-1266657.483,1378288.384
-1304407.027,1707831.695
-1167692.464,1671102.41
-1108517.504,1764966.139
-1171773.496,1690487.311
-1103416.214,1747621.755
-1066686.929,1732317.886
-1276860.062,1401754.316
-1181976.075,1661920.089
-1249313.098,2003706.495
-1205442.007,1545610.685
-1056484.35,1847607.032
-1051383.06,1889437.607
-1386027.661,1818019.552
-1197279.944,1727216.596
-1005471.453,1960855.662
-1201360.976,1635393.382
-1117699.825,1632332.609
-1191158.396,1525205.526
-1086071.83,1738439.433
-1292163.931,1762925.624
-1293184.189,1469091.34
-1247272.582,1453787.471
-1223806.65,1454807.729
-1168712.722,1618048.998
-1253394.13,1371146.579
-1175854.527,1537448.621
-1161570.916,1661920.089
-1093213.635,1639474.414
-1427858.236,1981260.821
-1199320.46,1741500.207
-1126882.147,1731297.628
-1341136.312,1761905.366
-1108517.504,1804756.199
-1204421.749,1747621.755
-1015674.032,1826181.615
-1161570.916,1577238.68
-1041180.481,1796594.135
-1185036.849,1761905.366
-1143206.274,1629271.835
-1134023.952,1569076.617
-1219725.618,1466030.566
-1330933.733,1743540.723
-1260535.936,1507861.141
-1251353.614,1387470.705
-1258495.42,1450726.697
-1035058.933,1800675.167
-1244211.809,2039415.523
-1010572.743,1819039.81
-1201360.976,1539489.137
-1249313.098,1405835.348
-1062605.897,1930247.924
-1154429.111,1724155.822
-1420716.431,1912903.539
-1114639.052,1820060.068
-1093213.635,1720074.791
-1208502.781,1457868.503
-1249313.098,1427260.765
-1181976.075,1495618.046
-1197279.944,1756804.076
-1286042.384,2017990.106
-1063626.155,1835363.937
-1203401.491,1650697.251
-1105456.73,1708851.953
-1042200.739,1721095.048
-1091173.119,1635393.382
-1236049.745,1375227.61
-1282981.61,2047577.586
-1093213.635,1767006.655
-1039139.965,1748642.013
-1253394.13,1423179.733
-1198300.202,1761905.366
-1216664.845,1623150.287
-1081990.798,1813938.52
-1089132.603,1804756.199
-987106.8104,1822100.583
-1149327.821,1711912.727
-970782.6835,1884336.317
-1344197.086,1763945.881
-1058524.865,1746601.497
-1100355.441,1769047.171
-1092193.377,1685386.021
-1164631.69,2061861.197
-1072808.476,1924126.376
-1424797.462,1913923.797
-1309508.316,1521124.494
-1296244.963,2004726.753
-1418675.915,2033293.975
-1304407.027,1508881.399
-1220745.876,1562955.069
-1345217.344,1889437.607
-1054443.834,1918004.829
-1091173.119,1780270.008
-1193198.912,1728236.854
-1043220.997,1734358.402
-1041180.481,1717014.017
-1240130.777,1385430.19
-1158510.143,1715993.759
-1380926.371,1677223.957
-1321751.411,1880255.285
-1350318.633,1988402.626
-1138104.984,1944531.535
-1164631.69,1654778.283
-1092193.377,1726196.338
-1210543.297,1689467.053
-1368683.276,1816999.294
-1092193.377,1780270.008
-1213604.071,1636413.64
-1295224.705,1760885.108
-1195239.428,1945551.793
-1228907.94,1622130.029
-1097294.667,2026152.169
-1215644.587,1467050.824
-1265637.225,1521124.494
-1318690.638,1495618.046
-1332974.249,1930247.924
-1274819.547,1726196.338
-1387047.919,1823120.841
-1025876.612,1753743.302
-1318690.638,1540509.395
-1180955.817,1835363.937
-1198300.202,1923106.119
-1252373.872,1687426.537
-1208502.781,1655798.541
-1277880.32,2054719.391
-1355419.923,1730277.37
-1259515.678,1567036.101
-1231968.714,1929227.666
-1073828.734,1719054.533
-1279920.836,1729257.112
-1121780.857,1699669.632
-992208.1,1931268.182
-1343176.828,1846586.774
-1083011.056,1923106.119
-1240130.777,1455827.987
-1364602.244,1951673.341
-1254414.388,1389511.221
-1424797.462,1970037.983
-1178915.301,1580299.454
-1299305.737,1829242.389
-1011593.001,1741500.207
-1444182.363,1969017.725
-1024856.354,1786391.556
-1189117.88,1602745.129
-1289103.158,1705791.18
-1101375.699,1698649.374
-1140145.5,2052678.876
-1053423.576,1750682.528
-1300325.995,2083286.614
-1089132.603,1693548.084
-1393169.466,1831282.905
-1234009.229,1543570.169
-1207482.523,1729257.112
-1155449.369,1946572.051
-1077909.766,1772107.945
-1361541.471,1818019.552
-1100355.441,1688446.795
-1017714.548,1809857.488
-1014653.774,1892498.381
-1366642.76,1978200.047
-1064646.413,1853728.579
-1257475.162,1690487.311
-1252373.872,1635393.382
-1280941.094,1900660.444
-1330933.733,1557853.78
-1252373.872,1468071.082
-1109537.762,1651717.509
-1322771.669,1680284.731
-1135044.21,1675183.442
-1108517.504,1954734.114
-1237070.003,1537448.621
-991187.8421,1857809.611
-1313589.348,1731297.628
-1161570.916,1531327.074
-1063626.155,1711912.727
-1234009.229,1647636.478
-1112598.536,1700689.89
-1269718.257,1423179.733
-1216664.845,1602745.129
-1361541.471,1706811.437
-1044241.254,1689467.053
-1190138.138,1733338.144
-1115659.31,1670082.152
-1366642.76,1834343.679
-1363581.986,1970037.983
-1290123.416,1557853.78
-1044241.254,1989422.884
-1165651.948,1748642.013
-1296244.963,1976159.531
-1351338.891,1812918.262
-1149327.821,1551732.232
-1007511.969,1855769.095
-1324812.185,2015949.59
-1215644.587,1490516.756
-1190138.138,1643555.446
-1100355.441,1723135.564
-1303386.769,1469091.34
-1063626.155,1841485.484
-1157489.885,1951673.341
-1262576.451,1774148.461
-1189117.88,1507861.141
-1025876.612,1823120.841
-1260535.936,1474192.629
-1343176.828,1668041.636
-1288082.9,1725176.08
-992208.1,1834343.679
-1294204.447,1724155.822
-1274819.547,1536428.363
-1258495.42,1685386.021
-1319710.895,1885356.575
-1343176.828,1741500.207
-1112598.536,1676203.7
-1284001.868,1664980.862
-1305427.284,1452767.213
-1181976.075,1802715.683
-1146267.047,1627231.319
-1238090.261,1647636.478
-1164631.69,1671102.41
-1147287.305,1888417.349
-1138104.984,1556833.522
-1246252.325,1503780.109
-985066.2945,1836384.195
-1380926.371,1650697.251
-1189117.88,1686406.279
-1109537.762,1774148.461
-1083011.056,1632332.609
-1226867.424,1668041.636
-1230948.456,1974119.015
-1315629.864,1548671.458
-1040160.223,1848627.29
-1039139.965,1719054.533
-1131983.436,2058800.423
-1094233.893,1658859.315
-1153408.853,1739459.691
-1094233.893,1698649.374
-1291143.673,1459909.018
-1201360.976,1550711.974
-1119740.341,1684365.763
-1175854.527,1732317.886
-1343176.828,1819039.81
-1346237.602,1621109.771
-1141165.758,1562955.069
-1245232.067,1422159.475
-1206462.265,1560914.553
-1194219.17,1926166.892
-1094233.893,1719054.533
-1181976.075,1820060.068
-1075869.25,1789452.33
-1228907.94,1759864.85
-1254414.388,1740479.949
-1257475.162,1539489.137
-1306447.542,1480314.177
-1121780.857,1611927.45
-1312569.09,1653758.025
-1255434.646,1927187.15
-1264616.967,1794553.619
-1318690.638,1808837.23
-1080970.54,1639474.414
-1073828.734,1762925.624
-1395209.982,1967997.467
-1066686.929,1791492.846
-1076889.508,1701710.148
-1058524.865,1673142.926
-1067707.187,1742520.465
-1110558.02,1617028.74
-1070767.961,1663960.604
-1134023.952,1676203.7
-1312569.09,1453787.471
-1036079.191,1726196.338
-1105456.73,2044516.812
-1239110.519,1462969.792
-1122801.115,1857809.611
-1278900.578,1729257.112
-1272779.031,1490516.756
-1063626.155,1657839.057
-1218705.36,1637433.898
-1112598.536,2019010.364
-1204421.749,1505820.625
-1030977.901,1904741.476
-1036079.191,1937389.73
-1040160.223,1813938.52
-1158510.143,1721095.048
-1285022.126,1782310.524
-1099335.183,1685386.021
-1072808.476,1695588.6
-1218705.36,2077165.066
-1013633.517,1802715.683
-1218705.36,1437463.344
-1335014.764,1966977.21
-1102395.956,1854748.837
-1416635.399,1894538.897
-1184016.591,1802715.683
-1265637.225,1461949.534
-1322771.669,1943511.277
-1040160.223,1864951.417
-1004451.195,1762925.624
-1113618.794,1662940.346
-1150348.079,1641514.93
-1002410.679,1847607.032
-1144226.532,1621109.771
-1209523.039,1433382.312
-1402351.788,1895559.154
-1169732.98,1629271.835
-1080970.54,1644575.704
-1113618.794,1603765.387
-1130963.178,1681304.989
-1026896.87,1740479.949
-1195239.428,1571117.133
-1216664.845,1694568.342
-1338075.538,1811898.004
-1330933.733,1652737.767
-1281961.352,1813938.52
-1116679.567,1845566.516
-1373784.566,1748642.013
-1350318.633,2087367.645
-1134023.952,1577238.68
-1112598.536,1685386.021
-1356440.181,2036354.749
-1136064.468,1606826.16
-1103416.214,1664980.862
-1337055.28,1748642.013
-1371744.05,1891478.123
-1148307.563,1750682.528
-993228.358,1847607.032
-1289103.158,1626211.061
-1313589.348,1967997.467
-1122801.115,1600704.613
-1392149.208,1907802.25
-1336035.022,1838424.71
-1081990.798,1642535.188
-1012613.259,1871072.964
-1043220.997,1978200.047
-1327872.959,1845566.516
-1098314.925,1614988.224
-1196259.686,1653758.025
-1118720.083,1664980.862
-1115659.31,1717014.017
-1109537.762,1614988.224
-1159530.401,1672122.668
-1324812.185,1819039.81
-1285022.126,1893518.639
-1257475.162,1688446.795
-1303386.769,1450726.697
-1393169.466,1824141.099
-1267677.741,1421139.217
-1178915.301,1903721.218
-1316650.122,1625190.803
-1235029.487,1391551.737
-1097294.667,1645595.962
-1299305.737,1548671.458
-1368683.276,1897599.67
-1088112.345,1612947.708
-1058524.865,1703750.664
-1057504.608,1839444.968
-1277880.32,1422159.475
-1128922.663,1828222.131
-1067707.187,1777209.235
-1017714.548,1754763.56
-1247272.582,1488476.24
-1241151.035,1703750.664
-1242171.293,1717014.017
-1096274.409,1741500.207
-1400311.272,2060840.939
-1154429.111,1737419.175
-1103416.214,1799654.909
-1316650.122,1713953.243
-1149327.821,1546630.942
-996289.1317,1779249.75
-1236049.745,1758844.592
-1060565.381,1720074.791
-1141165.758,1738439.433
-1121780.857,1643555.446
-1365622.502,1854748.837
-1257475.162,1498678.82
-1124841.631,1696608.858
-1390108.693,1792513.104
-1281961.352,2062881.455
-1252373.872,1670082.152
-1214624.329,1490516.756
-1185036.849,1689467.053
-1083011.056,1652737.767
-1228907.94,2084306.871
-1236049.745,1748642.013
-1316650.122,1695588.6
-1174834.269,1777209.235
-1134023.952,1795573.877
-994248.6159,1778229.493
-1280941.094,2023091.396
-1189117.88,1486435.725
-1197279.944,1694568.342
-1253394.13,1388490.963
-1176874.785,1816999.294
-1173814.012,2034314.233
-1084031.314,1683345.505
-1234009.229,1727216.596
-1045261.512,1735378.659
-994248.6159,1964936.694
-1010572.743,1950653.083
-1125861.889,1819039.81
-1145246.789,1559894.296
-1146267.047,1887397.091
-1422756.946,1981260.821
-1240130.777,1778229.493
-1360521.213,2017990.106
-1135044.21,1694568.342
-1328893.217,1823120.841
-1381946.629,1807816.972
-1273799.289,1484395.209
-1096274.409,1651717.509
-1076889.508,1784351.04
-1001390.421,1794553.619
-1052403.318,1723135.564
-1152388.595,1678244.215
-1327872.959,1821080.326
-1090152.861,1633352.866
-1098314.925,1670082.152
-1211563.555,1439503.86
-1258495.42,1486435.725
-1193198.912,1510921.915
-1006491.711,1790472.588
-1080970.54,1798634.651
-1304407.027,1751702.786
-1159530.401,1628251.577
-1133003.694,1564995.585
-1342156.57,1542549.911
-1203401.491,1752723.044
-1162591.174,1789452.33
-1224826.908,1548671.458
-1319710.895,1855769.095
-1013633.517,1839444.968
-979965.0049,1819039.81
-1205442.007,1728236.854
-1364602.244,1926166.892
-1240130.777,1804756.199
-1165651.948,1528266.3
-1089132.603,1785371.298
-1305427.284,1652737.767
-1178915.301,1882295.801
-1158510.143,1785371.298
-1180955.817,1521124.494
-1363581.986,1640494.672
-1248292.84,1380328.9
-1012613.259,1961875.92
-1187077.365,2050638.36
-1031998.159,1714973.501
-1179935.559,1618048.998
-1000370.163,1862910.901
-1025876.612,1786391.556
-1114639.052,1713953.243
-1226867.424,1569076.617
-1137084.726,1641514.93
-1120760.599,1670082.152
-1091173.119,1682325.247
-1111578.278,1795573.877
-1012613.259,1913923.797
-967721.9097,1845566.516
-1230948.456,1671102.41
-1409493.593,1904741.476
-1403372.046,1858829.869
-1197279.944,1467050.824
-1195239.428,1555813.264
-1130963.178,1713953.243
-1054443.834,1686406.279
-974863.7152,1821080.326
-1195239.428,1723135.564
-1206462.265,1823120.841
-1104436.472,1660899.831
-1178915.301,1820060.068
-1306447.542,1543570.169
-1185036.849,1773128.203
-1253394.13,1506840.883
-1391128.951,2002686.237
-1289103.158,1733338.144
-1003430.937,1931268.182
-1213604.071,1434402.57
-1241151.035,1721095.048
-1094233.893,1787411.814
-1217685.103,1402774.574
-973843.4573,1866991.932
-1073828.734,1703750.664
-1302366.511,1648656.735
-1364602.244,1812918.262
-1160550.658,1629271.835
-1363581.986,1702730.406
-1044241.254,1865971.674
-1092193.377,1620089.513
-1012613.259,1800675.167
-1213604.071,1489496.498
-1199320.46,1488476.24
-1181976.075,1626211.061
-1387047.919,1791492.846
-1110558.02,1712932.985
-1220745.876,1751702.786
-1128922.663,1659879.573
-1260535.936,1447665.923
-1093213.635,1732317.886
-1187077.365,1582339.97
-1256454.904,1547651.2
-1276860.062,2062881.455
-1220745.876,1953713.856
-1212583.813,1453787.471
-1068727.445,1695588.6
-1338075.538,1540509.395
-1231968.714,1984321.594
-1309508.316,2065942.229
-1064646.413,2032273.717
-1343176.828,1788432.072
-1173814.012,1507861.141
-1176874.785,1674163.184
-1256454.904,1728236.854
-1177895.043,1961875.92
-1378885.855,1839444.968
-1119740.341,1627231.319
-1204421.749,1658859.315
-1105456.73,1758844.592
-1124841.631,1698649.374
-1112598.536,1606826.16
-1342156.57,1860870.385
-1311548.832,1715993.759
-1004451.195,1980240.563
-1222786.392,1498678.82
-1102395.956,1997584.947
-1195239.428,1686406.279
-1163611.432,1727216.596
-1355419.923,1713953.243
-1226867.424,1389511.221
-1178915.301,1530306.816
-1124841.631,1671102.41
-1324812.185,1718034.275
-1248292.84,1415017.67
-1051383.06,1741500.207
-1112598.536,1680284.731
-1363581.986,1751702.786
-1294204.447,1530306.816
-1047302.028,1685386.021
-1226867.424,1629271.835
-1178915.301,1600704.613
-1081990.798,1730277.37
-1059545.123,1667021.378
-1129942.921,1626211.061
-1237070.003,1404815.09
-1113618.794,1871072.964
-1071788.219,1852708.321
-1174834.269,1580299.454
-1174834.269,1997584.947
-1290123.416,1687426.537
-1076889.508,1689467.053
-1240130.777,1596623.581
-1291143.673,1445625.407
-1195239.428,1627231.319
-1173814.012,1921065.603
-1030977.901,1823120.841
-987106.8104,1956774.63
